epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1234,0.00698,26.9625,0.00321,0,0,0,0,0.39324,38.7506,0.15947,2.5e-05,2.5e-05,2.5e-05
2,34.5456,0.00186,20.0459,0.00092,0,0,0,0,0.50563,22.3502,0.20259,6.12625e-05,6.12625e-05,6.12625e-05
3,48.3321,0.00055,13.5488,0.00028,0,0,0,0,0.70182,16.1845,0.27353,9.604e-05,9.604e-05,9.604e-05
4,71.8166,0.1563,10.4939,0.06592,0,0,0,0,0.65597,12.9164,0.26415,0.000129332,0.000129332,0.000129332
5,89.0878,0.00164,8.83364,0.00119,0,0,0,0,0.63384,12.0477,0.2591,0.00016114,0.00016114,0.00016114
6,107.28,0.12636,8.17392,0.04893,0,0,0,0,1.77824,11.9438,0.66049,0.000191463,0.000191463,0.000191463
7,128.706,0.02049,7.63786,0.00847,0,0,0,0,2.79601,12.321,0.96784,0.0002203,0.0002203,0.0002203
8,147.747,0.27464,7.49229,0.09281,0,0,0,0,3.56736,12.5641,1.18167,0.000247653,0.000247653,0.000247653
9,162.83,0.78585,7.76652,0.2034,0,0,0,0,4.67208,11.9928,1.46954,0.00027352,0.00027352,0.00027352
10,176.546,0.95524,7.86236,0.25894,0,0,0,0,5.1675,9.42572,1.48583,0.000297903,0.000297903,0.000297903
11,189.312,2.49648,9.12249,0.68889,0,0,0,0,5.62499,8.59695,1.51498,0.0003208,0.0003208,0.0003208
12,204.952,1.89059,8.92204,0.58427,0,0,0,0,4.90024,7.24701,1.34598,0.000342213,0.000342213,0.000342213
13,222.299,2.76239,9.29212,0.75622,0,0,0,0,3.41415,6.15736,1.18606,0.00036214,0.00036214,0.00036214
14,238.617,3.3334,8.72518,0.86576,0,0,0,0,2.90433,5.79749,1.13363,0.000380582,0.000380582,0.000380582
15,253.14,2.97422,8.61081,0.82232,0,0,0,0,2.90433,5.79749,1.13363,0.00039754,0.00039754,0.00039754
